company,price,changes,mcap,pe,pb
Trent,7070.0,2.91,251329.63,154.22,52.48
Bajaj Hold & Invest,10194.65,2.62,113459.84,39.03,6.0
Interglobe Aviation,4858.0,2.34,187632.05,24.03,40.64
Torrent Pharma,3423.75,1.84,115875.26,77.1,15.88
JIO Financial Serv.,329.2,1.73,209150.12,677.37,8.53
Zydus Lifesciences,1131.1,1.51,113815.13,26.1,6.53
United Spirits,1445.15,1.13,105113.11,76.59,14.48
Indian Oil Corp.,175.0,1.01,247121.67,8.67,1.38
Info Edge,7568.65,1.0,97926.31,113.15,3.84
Life Insurance Corp,1088.0,0.82,688159.75,16.55,7.44
Chola Invest & Fin.,1455.1,0.78,122276.4,33.6,6.01
Tata Power,431.0,0.67,137719.13,54.64,8.34
Colgate Palmol. (I),3563.05,0.64,96909.84,68.54,43.26
SBI Cards AndPayment,741.45,0.64,70524.96,29.28,5.57
IRCTC,934.55,0.45,74764.0,63.0,21.13
Indian Railway Finance,181.5,0.36,237193.38,36.78,4.67
Adani Power,656.2,0.32,253092.33,19.36,6.04
Vedanta,465.25,0.29,181930.8,24.59,2.33
REC,619.0,0.27,162996.57,11.24,2.27
ABB India,7927.0,0.25,167979.77,104.37,26.49
Hindustan Aeron,4732.9,0.24,316524.52,38.52,10.38
Godrej Consumer Prod,1458.45,0.14,149184.11,238.93,15.09
ICICI Lombard Gen.,2155.65,0.11,106518.26,50.52,8.65
Shree Cement,24830.05,0.07,89588.68,40.63,4.33
Zomato,256.06,0.0,226113.84,144.48,10.02
PNB,115.93,0.03,127650.7,12.46,1.23
Adani Total Gas,855.7,0.08,94110.75,137.89,25.16
Bharat Electronics,300.35,0.18,219549.21,51.47,13.02
ICICI Prudential,742.45,0.23,107190.21,123.08,9.53
Bosch,32225.0,0.23,95043.25,37.32,7.59
Jindal Steel & Power,966.2,0.27,98560.91,18.49,2.1
GAIL India,235.6,0.39,154909.35,15.26,2.32
Ambuja Cement,621.8,0.42,153157.02,67.75,3.34
Canara Bank,110.37,0.43,100112.78,6.71,1.2
Dabur India,640.55,0.44,113525.41,73.87,15.71
Power Finance Corp,534.0,0.46,176225.43,11.69,2.13
Havells India,1886.0,0.49,118236.94,84.64,15.0
Pidilite Inds.,3082.2,0.55,156763.57,83.23,17.66
Siemens,6970.0,0.55,248215.82,102.38,17.19
Bank Of Baroda,249.8,0.56,129180.63,7.11,1.07
TVS Motor,2725.0,0.59,129461.24,59.04,15.58
Avenue Supermarts,4925.7,0.66,320531.59,113.99,15.98
Adani Energy Solut.,1037.7,0.81,124657.1,336.28,6.44
SRF,2534.7,0.82,75134.8,59.7,6.99
DLF,839.0,0.87,207678.65,192.37,7.14
Berger Paints India,578.75,0.92,67470.45,67.86,12.72
Marico,669.05,1.0,86621.25,80.06,22.51
Varun Beverages,1543.35,1.37,200550.37,93.12,23.46
SamvardhanaMotherson,197.08,1.42,133549.71,143.19,4.16
Adani Green Energy,1859.25,1.46,294511.24,0.0,68.13
